Date,Daily_cases
2020-12-23,24712
2020-12-24,23067
2020-12-25,22273
2020-12-26,18732
2020-12-27,20021
2020-12-28,16432
2020-12-29,20549
2020-12-30,21822
2020-12-31,20035
2021-01-01,19079
2021-01-02,18177
2021-01-03,16504
2021-01-04,16375
2021-01-05,18088
2021-01-06,20346
2021-01-07,18139
2021-01-08,0
2021-01-09,36867
2021-01-10,16311
2021-01-11,12584
2021-01-12,15968
2021-01-13,16946
2021-01-14,15590
2021-01-15,15158
2021-01-16,15144
2021-01-17,13788
2021-01-18,10050
2021-01-19,13816
2021-01-20,15244
2021-01-21,14545
2021-01-22,14256
2021-01-23,14849
2021-01-24,13203
2021-01-25,9102
2021-01-26,12689
2021-01-27,11666
2021-01-28,18855
2021-01-29,13082
2021-01-30,13044
2021-01-31,11436
2021-02-01,8635
2021-02-02,11039
2021-02-03,12899
2021-02-04,12408
2021-02-05,11713
2021-02-06,12059
2021-02-07,11831
2021-02-08,9110
2021-02-09,11067
2021-02-10,12923
2021-02-11,9309
2021-02-12,12143
2021-02-13,12194
2021-02-14,11649
2021-02-15,9121
2021-02-16,11610
2021-02-17,12881
2021-02-18,13193
2021-02-19,13993
2021-02-20,14264
2021-02-21,14199
2021-02-22,10584
2021-02-23,13742
2021-02-24,16738
2021-02-25,16577
2021-02-26,16488
2021-02-27,16752
2021-02-28,15510
2021-03-01,12286
2021-03-02,14989
2021-03-03,17407
2021-03-04,16838
2021-03-05,18284
2021-03-06,18754
2021-03-07,18599
2021-03-08,15388
2021-03-09,17921
2021-03-10,22854
2021-03-11,23285
2021-03-12,24882
2021-03-13,25320
2021-03-14,26291
2021-03-15,24492
2021-03-16,28903
2021-03-17,35871
2021-03-18,39726
2021-03-19,40953
2021-03-20,43846
2021-03-21,46951
2021-03-22,40715
2021-03-23,47262
2021-03-24,53476
2021-03-25,59118
2021-03-26,62258
2021-03-27,62714
2021-03-28,68020
2021-03-29,56211
2021-03-30,53480
2021-03-31,72330
2021-04-01,81466
2021-04-02,89129
2021-04-03,93249
2021-04-04,103558
2021-04-05,96982
2021-04-06,115736
2021-04-07,126789
2021-04-08,131968
2021-04-09,145384
2021-04-10,152879
2021-04-11,168912
2021-04-12,161736
2021-04-13,184372
2021-04-14,200739
2021-04-15,217353
2021-04-16,234692
2021-04-17,261394
2021-04-18,273802
2021-04-19,259167
2021-04-20,295158
2021-04-21,314644
2021-04-22,332921
2021-04-23,346786
2021-04-24,349691
2021-04-25,352991
2021-04-26,323023
